Date,Volume,Name
2020-05-08,30.91264,MSFT
2020-05-07,28.31599,MSFT
2020-05-06,32.1393,MSFT
2020-05-05,36.83917,MSFT
2020-05-04,30.37286,MSFT
2020-05-01,39.37047,MSFT
2020-04-30,53.87586,MSFT
2020-04-29,51.28656,MSFT
2020-04-28,34.39269,MSFT
2020-04-27,33.19438,MSFT
2020-04-24,34.30532,MSFT
2020-04-23,32.7908,MSFT
2020-04-22,34.6516,MSFT
2020-04-21,56.20375,MSFT
2020-04-20,36.66956,MSFT
2020-04-17,52.76563,MSFT
2020-04-16,50.47961,MSFT
2020-04-15,40.94083,MSFT
2020-04-14,52.87434,MSFT
2020-04-13,41.90526,MSFT
2020-04-09,51.43178,MSFT
2020-04-08,48.31823,MSFT
2020-04-07,62.76904,MSFT
2020-04-06,67.1117,MSFT
2020-04-03,41.24328,MSFT
2020-04-02,49.63074,MSFT
2020-04-01,57.96993,MSFT
2020-03-31,77.92719,MSFT
2020-03-30,63.42033,MSFT
2020-03-27,57.04229,MSFT
2020-03-26,64.69443,MSFT
2020-03-25,75.63822,MSFT
2020-03-24,82.51673,MSFT
2020-03-23,78.97518,MSFT
2020-03-20,84.86622,MSFT
2020-03-19,85.92266,MSFT
2020-03-18,81.59317,MSFT
2020-03-17,81.05982,MSFT
2020-03-16,87.90587,MSFT
2020-03-13,92.72745,MSFT
2020-03-12,93.22637,MSFT
2020-03-11,56.5043,MSFT
2020-03-10,65.35439,MSFT
2020-03-09,70.41927,MSFT
2020-03-06,72.82106,MSFT
2020-03-05,47.81725,MSFT
2020-03-04,49.81438,MSFT
2020-03-03,71.67702,MSFT
2020-03-02,71.03081,MSFT
2020-02-28,97.07356,MSFT
2020-02-27,93.17491,MSFT
2020-02-26,56.38715,MSFT
2020-02-25,68.0733,MSFT
2020-02-24,68.31107,MSFT
2020-02-21,48.60039,MSFT
2020-02-20,36.86238,MSFT
2020-02-19,29.99747,MSFT
2020-02-18,27.85311,MSFT
2020-02-14,23.14952,MSFT
2020-02-13,35.29583,MSFT
2020-02-12,47.06292,MSFT
2020-02-11,53.15991,MSFT
2020-02-10,35.84427,MSFT
2020-02-07,33.52907,MSFT
2020-02-06,27.75138,MSFT
2020-02-05,39.18632,MSFT
2020-02-04,36.43334,MSFT
2020-02-03,30.14905,MSFT
2020-01-31,36.14269,MSFT
2020-01-30,51.59747,MSFT
2020-01-29,35.12777,MSFT
2020-01-28,24.89994,MSFT
2020-01-27,32.07807,MSFT
2020-01-24,24.91812,MSFT
2020-01-23,19.68077,MSFT
2020-01-22,24.13878,MSFT
2020-01-21,29.51719,MSFT
2020-01-17,34.37166,MSFT
2020-01-16,23.86536,MSFT
2020-01-15,21.41787,MSFT
2020-01-14,23.50078,MSFT
2020-01-13,21.63701,MSFT
2020-01-10,20.73395,MSFT
2020-01-09,21.39995,MSFT
2020-01-08,27.76203,MSFT
2020-01-07,21.88174,MSFT
2020-01-06,20.8267,MSFT
2020-01-03,21.12168,MSFT
2020-01-02,22.63455,MSFT
2020-12-31,20.2448,GOOG
2020-12-30,26.1226,GOOG
2020-12-29,25.9879,GOOG
2020-12-28,27.86066,GOOG
2020-12-24,6.93506,GOOG
2020-12-23,20.67834,GOOG
2020-12-22,18.76692,GOOG
2020-12-21,36.56756,GOOG
2020-12-18,80.32706,GOOG
2020-12-17,32.49488,GOOG
2020-12-16,30.27086,GOOG
2020-12-15,29.64522,GOOG
2020-12-14,32.00346,GOOG
2020-12-11,24.41302,GOOG
2020-12-10,27.25696,GOOG
2020-12-09,30.15116,GOOG
2020-12-08,21.92638,GOOG
2020-12-07,26.41892,GOOG
2020-12-04,27.56332,GOOG
2020-12-03,24.54596,GOOG
2020-12-02,24.44064,GOOG
2020-12-01,34.7809,GOOG
2020-11-30,36.47672,GOOG
2020-11-27,17.69832,GOOG
2020-11-25,20.92244,GOOG
2020-11-24,31.59406,GOOG
2020-11-23,43.2395,GOOG
2020-11-20,46.2731,GOOG
2020-11-19,24.9982,GOOG
2020-11-18,23.46932,GOOG
2020-11-17,22.94228,GOOG
2020-11-16,24.9357,GOOG
2020-11-13,30.01148,GOOG
2020-11-12,24.97508,GOOG
2020-11-11,25.27932,GOOG
2020-11-10,52.72284,GOOG
